file,width,frame,time,speedup
wave.cpp,1024,100,5.6782 s,-
wave.cpp,1024,200,11.2784 s,-
wave.cpp,2048,100,22.7548 s,-
wave.cpp,2048,200,45.4517 s,-
wavecuda2.cu,1024,100,0.1500 s,37.8546
wavecuda2.cu,1024,200,0.2572 s,43.8506
wavecuda2.cu,2048,100,0.2706 s,84.0901
wavecuda2.cu,2048,200,0.4458 s,101.9553
